chrom	start	end	value
1	19181015	19181015	1
1	19181082	19181082	1
1	19181393	19181393	1
1	19184074	19184074	0
1	19184077	19184077	1
1	19186129	19186129	0
1	19203961	19203961	1
1	19474585	19474585	1
1	19478215	19478215	0.925
1	19597420	19597420	1
1	20141528	20141528	0
1	20395497	20395497	0
1	20657352	20657352	1
1	20944909	20944909	1
1	20944922	20944922	1
1	20945055	20945055	1
1	21797204	21797204	1
1	21799414	21799414	1
1	21808159	21808159	0
1	21809667	21809667	0.9718
1	21894735	21894735	1
1	21894785	21894785	1
1	21896887	21896887	0.9615
1	21896918	21896918	0.9286
1	21932625	21932625	1
1	21935433	21935433	1
1	21943820	21943820	1
1	22050649	22050649	1
1	22109370	22109370	0.9615
1	22149935	22149935	0
1	22155987	22155987	0
1	22157689	22157689	0
1	22170712	22170712	0
1	22174380	22174380	0
1	22174426	22174426	0
1	22174600	22174600	0.0167
1	22183471	22183471	0.04
1	22211623	22211623	0.8889
1	22919904	22919904	0.9474
1	22928265	22928265	1
1	23101688	23101688	0
1	23236826	23236826	0.9333
1	23965704	23965704	0.9825
1	24077451	24077451	0
1	24383949	24383949	0
1	24706292	24706292	0
1	24718075	24718075	0
1	24785393	24785393	0
1	25098341	25098341	0
1	25255982	25255982	1
1	25291010	25291010	0
1	25889632	25889632	1
1	26185711	26185711	0
1	26189517	26189517	1
1	26349245	26349245	0
1	26526554	26526554	1
1	26527310	26527310	1
1	26527809	26527809	1
1	26527810	26527810	1
1	26609259	26609259	0
1	26627478	26627478	0
1	26663063	26663063	0
1	26872554	26872554	1
1	26887592	26887592	0.9722
1	27339103	27339103	1
1	27676925	27676925	0
1	27679954	27679954	0
1	28282206	28282206	0
1	28282292	28282292	1
1	28422913	28422913	0.9722
1	28527011	28527011	1
1	28564252	28564252	1
1	28696392	28696392	1
1	28733993	28733993	1
1	28843318	28843318	1
1	28861636	28861636	1
1	29630455	29630455	1
1	29644328	29644328	1
1	31346199	31346199	1
1	31426815	31426815	0
1	31842320	31842320	0
1	32164206	32164206	0.5357
1	32165495	32165495	0.5385
1	32193647	32193647	0.4667
1	33245802	33245802	0.4694
1	33333927	33333927	0.5385
1	33409693	33409693	0.5579
1	33956743	33956743	0.5
1	34025030	34025030	0.475
1	34158482	34158482	0.4946
1	34238283	34238283	0.4667
1	34663147	34663147	0.375
1	34663208	34663208	0.4516
1	35184033	35184033	0.5753
1	35227466	35227466	0.4194
1	35227673	35227673	0.4074
1	35250942	35250942	0.4737
1	36642420	36642420	0.5882
1	37325477	37325477	0.5
1	38019747	38019747	0.4118
1	38329999	38329999	0.464
1	38348506	38348506	0.4455
1	39330399	39330399	0.53
1	39340282	39340282	0.4267
1	39352271	39352271	0.5376
1	39914363	39914363	0.4264
1	40229368	40229368	0.5059
1	40435157	40435157	0.3182
1	40773123	40773123	0.4923
1	40773149	40773149	0.475
1	40778377	40778377	0.6197
1	40955156	40955156	0.4956
1	40980559	40980559	0.4762
1	40980731	40980731	0.4432
1	40998811	40998811	0.4385
1	41107612	41107612	0.6053
1	41282919	41282919	0.375
1	41282921	41282921	0.375
1	41284366	41284366	0.6316
1	41848296	41848296	0.3889
1	43042703	43042703	0.5208
1	43047057	43047057	0.4314
1	43108188	43108188	0.493
1	43131653	43131653	0.5205
1	43200855	43200855	0.5294
1	43296173	43296173	0.4375
1	43296195	43296195	0.4316
1	43782846	43782846	0.5196
1	43812075	43812075	0.5231
1	43825644	43825644	0.5625
1	44086831	44086831	0.4074
1	45101296	45101296	0.4048
1	45269333	45269333	0.4706
1	45293518	45293518	0.5
1	45345446	45345446	0.4583
1	45504720	45504720	0.5714
1	46500993	46500993	0.5306
1	46976837	46976837	0.5833
1	46978076	46978076	0.2885
1	47607281	47607281	0.427
1	47607851	47607851	0.5385
1	47608983	47608983	0.4286
1	47610065	47610065	0.5195
1	47611598	47611598	0.4884
1	47746678	47746678	0.4839
1	47882497	47882497	0.7018
1	51767352	51767352	0.5246
1	53153432	53153432	0.5
1	53544439	53544439	0.4211
1	53544578	53544578	0.4706
1	54060016	54060016	0.4681
1	54686374	54686374	0.5
1	54704829	54704829	0.5658
1	55050381	55050381	0.7255
1	55119144	55119144	0.4302
1	55165942	55165942	0.4889
1	55166842	55166842	0.451
1	55188382	55188382	0.519
1	55197320	55197320	0.4792
1	55470811	55470811	0.5128
1	55474262	55474262	0.39
1	55505668	55505668	0.5079
1	55518316	55518316	0.52
1	57209695	57209695	0.5556
1	57221553	57221553	0.4639
1	57221554	57221554	0.4639
1	57254697	57254697	0.5455
1	57257817	57257817	0.3922
1	59125683	59125683	0.4286
1	59127086	59127086	0.4915
1	59142713	59142713	0.5556
1	59148118	59148118	0.4681
1	59160885	59160885	0.4397
1	59787350	59787350	0.4878
1	59844471	59844471	0.4123
1	62149237	62149237	0.4652
1	62232130	62232130	0.5833
1	62261168	62261168	0.3889
1	62380270	62380270	0.466
1	62456014	62456014	0.4211
1	62516683	62516683	0.5115
1	62579823	62579823	0.3964
1	62579907	62579907	0.3774
1	62675619	62675619	0.5903
1	62675892	62675892	0.4803
1	62728838	62728838	0.4
1	62728861	62728861	0.3651
1	62728918	62728918	0.4423
1	62732421	62732421	0.4154
1	62740446	62740446	0.5146
1	62740449	62740449	0.5096
1	63284830	63284830	0.497
1	64125368	64125368	0.4941
1	64672478	64672478	0.446
1	65113551	65113551	0.4444
1	65690461	65690461	0.4366
1	66062325	66062325	0.5226
1	66085574	66085574	0.442
1	66732386	66732386	0.5
1	66831370	66831370	0.4194
1	66834595	66834595	0.3088
1	67098664	67098664	0.5258
1	67145322	67145322	0.4848
1	67236097	67236097	0.5273
1	67279881	67279881	0.487
1	67327894	67327894	0.4752
1	67474880	67474880	0.47
1	67512903	67512903	0.3592
1	67561056	67561056	0.4912
1	68173264	68173264	0.4538
1	70904800	70904800	0.4967
1	71331430	71331430	0.4873
1	71533287	71533287	0.5036
1	74665493	74665493	0.4455
1	74941210	74941210	0.453
1	75037845	75037845	0.5556
1	75038228	75038228	0.5217
1	75065441	75065441	0.4412
1	75175886	75175886	0.4679
1	75672376	75672376	0.5181
1	76255613	76255613	0.4079
1	76269460	76269460	0.5513
1	76276536	76276536	0.411
1	76344705	76344705	0.475
1	76397972	76397972	0.5758
1	78024284	78024284	0.4512
1	78045369	78045369	0.5461
1	78178976	78178976	0.3867
1	78958491	78958491	0.5846
1	79095581	79095581	0.4444
1	84864256	84864256	0.4776
1	85559452	85559452	0.4684
1	86852621	86852621	0.4621
1	86896488	86896488	0.5781
1	86896541	86896541	0.3913
1	86904588	86904588	0.5288
1	86909493	86909493	0.5357
1	86920904	86920904	0.4308
1	89426902	89426902	0.402
1	89474818	89474818	0.4737
1	89479074	89479074	0.5103
1	90049040	90049040	0.4394
1	92149096	92149096	0.4638
1	92224347	92224347	0.482
1	92646021	92646021	0.4567
1	92647223	92647223	0.4942
1	92711067	92711067	0.5397
1	92735359	92735359	0.5929
1	93307302	93307302	0.5686
1	93646433	93646433	0.5231
1	93672688	93672688	0.5
1	93698072	93698072	0.4655
1	94037329	94037329	0.5385
1	94342564	94342564	0.52
1	94343023	94343023	0.4595
1	94343233	94343233	0.4923
1	94463366	94463366	0.4643
1	94467407	94467407	0.5085
1	94467447	94467447	0.4494
1	94471154	94471154	0.5098
1	94474452	94474452	0.4138
1	94576968	94576968	0.4066
1	97272456	97272456	0.5378
1	97544662	97544662	0.5278
1	97700589	97700589	0.5182
1	97981242	97981242	0.5522
1	99164434	99164434	0.5146
1	99358542	99358542	0.5036
1	99418647	99418647	0.4789
1	100949860	100949860	0.5286
1	101203827	101203827	0.4667
1	103354115	103354115	0.4882
1	108724518	108724518	0.4658
1	109265029	109265029	0.5294
1	109268573	109268573	0.4771
1	109735298	109735298	0.4
1	109735416	109735416	0.5
1	109737090	109737090	0.4658
1	109737172	109737172	0.4808
1	109742485	109742485	0.4902
1	109745618	109745618	0.5176
1	109806834	109806834	0.4667
1	109836835	109836835	0.5934
1	109836842	109836842	0.4057
1	110086451	110086451	0.4314
1	110173775	110173775	0.5
1	110210780	110210780	0.5
1	110295772	110295772	0.6333
1	110883569	110883569	0.4412
1	110925550	110925550	0.4111
1	110950462	110950462	0.6049
1	111778325	111778325	0.4667
1	111783982	111783982	0.4839
1	111784816	111784816	0.5273
1	111833517	111833517	0.3056
1	111857154	111857154	0.5392
1	111857951	111857951	0.463
1	111858444	111858444	0.4167
1	111861841	111861841	0.4565
1	111861974	111861974	0.4444
1	111862952	111862952	0.4167
1	111891170	111891170	0.3942
1	111957097	111957097	0.4179
1	111966291	111966291	0.5529
1	111969719	111969719	0.4559
1	111992095	111992095	0.4844
1	112298378	112298378	0.4429
1	113063125	113063125	0.3235
1	113083439	113083439	0.6105
1	113098534	113098534	0.5143
1	114443035	114443035	0.3947
1	114449662	114449662	0.5432
1	116534852	116534852	0.4605
1	117529458	117529458	0.5263
1	117554421	117554421	0.3529
1	117618067	117618067	0.5676
1	117715026	117715026	0.3241
1	118065841	118065841	0.3191
1	118065919	118065919	0.6
1	118565953	118565953	0.4804
1	118644430	118644430	0.4494
1	120285546	120285546	0.4493
1	120336785	120336785	0.4627
1	120378678	120378678	0.5047
1	120384205	120384205	0.4722
1	120469077	120469077	0.4286
1	120611758	120611758	0.4262
1	120611830	120611830	0.4032
1	120611876	120611876	0.4444
1	120611964	120611964	0.4286
1	121116688	121116688	0.514
1	144865850	144865850	0.3084
1	144868170	144868170	0.2797
1	144871738	144871738	0.2185
1	144871755	144871755	0.2368
1	144871782	144871782	0.2687
1	144873887	144873887	0.25
1	144906508	144906508	0.5649
1	144912233	144912233	0.2905
1	144916748	144916748	0.2727
1	145507646	145507646	0.3755
1	145515696	145515696	0.6115
1	145560893	145560893	0.3222
1	145581455	145581455	0.6439
1	146759320	146759320	0.4118
1	146767062	146767062	0.3902
1	148588978	148588978	0.2324
1	148756518	148756518	0.651
1	150531008	150531008	0.6149
1	150679033	150679033	0.5897
1	150727539	150727539	0.6103
1	150923099	150923099	0.5766
1	150999737	150999737	0.4516
1	151315287	151315287	0.2121
1	151803449	151803449	0.675
1	151820324	151820324	0.3905
1	151862661	151862661	0.3675
1	152129253	152129253	0.3804
1	152278434	152278434	0.32
1	152329369	152329369	0.3364
1	152331289	152331289	0.4403
1	152484129	152484129	0.5319
1	152488063	152488063	0.6667
1	153234295	153234295	0.5934
1	153317723	153317723	0.6226
1	153410822	153410822	0.5729
1	153412392	153412392	0.6444
1	153509892	153509892	0.407
1	153517172	153517172	0.382
1	153520203	153520203	0.3651
1	153588279	153588279	0.6386
1	153588340	153588340	0.3333
1	153604029	153604029	0.5971
1	153743234	153743234	0.366
1	154034201	154034201	0.5793
1	154246463	154246463	0.6294
1	154310048	154310048	0.3505
1	154320942	154320942	0.4107
1	154426970	154426970	0.4131
1	154474131	154474131	0.3659
1	154516477	154516477	0.3206
1	154901525	154901525	0.5945
1	154987526	154987526	0.3472
1	154988957	154988957	0.3294
1	155006091	155006091	0.3122
1	155006999	155006999	0.3705
1	155019710	155019710	0.398
1	155030557	155030557	0.6591
1	155106054	155106054	0.6195
1	155106227	155106227	0.5654
1	155260350	155260350	0.5747
1	155265177	155265177	0.5426
1	155408636	155408636	0.6343
1	155658085	155658085	1
1	156105646	156105646	0.975
1	156107534	156107534	0.9925
1	156215899	156215899	0
1	156255456	156255456	0
1	156264000	156264000	0
1	156306918	156306918	0
1	156347131	156347131	1
1	156622252	156622252	0
1	156640678	156640678	1
1	156737969	156737969	1
1	156846233	156846233	0
1	156848995	156848995	1
1	156918137	156918137	1
1	158226667	158226667	0
1	158299840	158299840	0
1	158390252	158390252	0.0091
1	158449749	158449749	0.9912
1	158450314	158450314	0.0059
1	158584091	158584091	0
1	158585230	158585230	0
1	158592847	158592847	0.9955
1	158618480	158618480	0.993
1	158687163	158687163	0
1	158687224	158687224	0
1	158687896	158687896	0.9773
1	158736445	158736445	1
1	159175527	159175527	0
1	159854251	159854251	0
1	159863028	159863028	1
1	159897132	159897132	1
1	159904539	159904539	1
1	160106531	160106531	1
1	160106857	160106857	1
1	160124875	160124875	1
1	160134205	160134205	0
1	160136350	160136350	0.9873
1	160251792	160251792	0
1	160263124	160263124	0
1	160303416	160303416	0
1	160321180	160321180	0
1	160393905	160393905	0
1	160459989	160459989	0
1	160793442	160793442	0.0081
1	160793962	160793962	0
1	160970427	160970427	1
1	161049383	161049383	1
1	161049509	161049509	0
1	161475750	161475750	0.993
1	161480649	161480649	0.9919
1	161576227	161576227	1
1	161681780	161681780	1
1	161683136	161683136	0
1	161696088	161696088	0
1	161751741	161751741	0
1	161967681	161967681	0
1	162313597	162313597	1
1	165377552	165377552	1
1	165398115	165398115	0
1	165667781	165667781	0
1	165693539	165693539	0.9905
1	165695855	165695855	1
1	166818566	166818566	1
1	166833199	166833199	0
1	166958601	166958601	1
1	166958710	166958710	1
1	167042762	167042762	1
1	167095163	167095163	0
1	167343328	167343328	1
1	167734923	167734923	0
1	167825485	167825485	1
1	167825718	167825718	0.9882
1	167849327	167849327	0
1	167973976	167973976	1
1	168282261	168282261	0
1	168683476	168683476	0
1	169076212	169076212	0.9868
1	169159866	169159866	0.0056
1	169272299	169272299	0
1	169293721	169293721	0
1	169391154	169391154	0.0102
1	169566313	169566313	0
1	169665632	169665632	0
1	169768080	169768080	0
1	169823660	169823660	0
1	169823718	169823718	0
1	169951997	169951997	1
1	170135669	170135669	0.0089
1	170522667	170522667	0.0109
1	171077198	171077198	0.0041
1	171083174	171083174	0
1	171083242	171083242	0
1	171083537	171083537	0
1	171115567	171115567	0.0048
1	171118840	171118840	0.0052
1	171482616	171482616	0
1	171486912	171486912	0.0077
1	171509327	171509327	0.0084
1	171526570	171526570	0.0044
1	171556165	171556165	0.0169
1	171753039	171753039	0
1	171755170	171755170	0
1	172277925	172277925	1
1	172411370	172411370	1
1	172411496	172411496	0
1	172547465	172547465	0
1	173010793	173010793	0
1	173503864	173503864	1
1	173516871	173516871	0.9939
1	173855208	173855208	0
1	174188285	174188285	0
1	174516999	174516999	0
1	174969271	174969271	0
1	175054626	175054626	0
1	175092674	175092674	1
1	175092707	175092707	1
1	175348723	175348723	0.9512
1	175375469	175375469	1
1	175375802	175375802	1
1	176992553	176992553	0.9865
1	177902388	177902388	0
1	177915474	177915474	0
1	177935050	177935050	1
1	178483231	178483231	0
1	178514622	178514622	0
1	178745914	178745914	0
1	179312009	179312009	1
1	179414105	179414105	0
1	179504130	179504130	0.9954
1	179604864	179604864	1
1	179852074	179852074	1
1	179876988	179876988	1
1	179972337	179972337	0
1	179989742	179989742	1
1	180243524	180243524	1
1	180905352	180905352	0.9818
1	180905448	180905448	1
1	181018236	181018236	0
1	181024404	181024404	0
1	181706685	181706685	1
1	181725110	181725110	0.9894
1	181741301	181741301	0.9896
1	182369233	182369233	0.9942
1	182554557	182554557	0
1	183155482	183155482	0.9851
1	183592570	183592570	0.992
1	183616926	183616926	0.9952
1	183617266	183617266	0.01
1	183876182	183876182	1
1	184777177	184777177	0
1	184801065	184801065	0.9906
1	185143721	185143721	0
1	185171869	185171869	0.0041
1	187610777	187610777	0.0139
1	193051685	193051685	0
1	196311253	196311253	0
1	196946775	196946775	0.9956
1	196946869	196946869	0
1	197063352	197063352	0
1	197073932	197073932	0
1	197742171	197742171	0.004
1	197896728	197896728	0.0096
1	200143281	200143281	1
1	200522566	200522566	0
1	200549413	200549413	0
1	201022411	201022411	1
1	201044748	201044748	0
1	201162472	201162472	0
1	201175227	201175227	0.013
1	201176018	201176018	0
1	201190732	201190732	1
1	201294278	201294278	0
1	201355669	201355669	0
1	201355943	201355943	0.0056
1	201777250	201777250	0.987
1	201860626	201860626	0
1	201865763	201865763	0
1	201952574	201952574	1
1	201952598	201952598	1
1	202092360	202092360	1
1	202092415	202092415	1
1	202092580	202092580	0.9833
1	202129826	202129826	1
1	202129895	202129895	1
1	202156628	202156628	1
1	202276494	202276494	1
1	202304868	202304868	0
1	202531741	202531741	1
1	202574784	202574784	0
1	203032922	203032922	1
1	203040816	203040816	0.9804
1	203153714	203153714	0.007
1	203198845	203198845	1
1	203452996	203452996	1
1	203743122	203743122	0
1	203743653	203743653	0.0052
1	203766827	203766827	1
1	204159787	204159787	0
1	204501383	204501383	0
1	204587047	204587047	0
1	204943947	204943947	0.9865
1	204966428	204966428	0
1	204978533	204978533	0
1	205027737	205027737	0
1	205041158	205041158	0
1	205225457	205225457	1
1	205240251	205240251	1
1	205308335	205308335	1
1	205308368	205308368	1
1	205389592	205389592	0
1	205554085	205554085	0
1	205554095	205554095	0
1	205764640	205764640	1
1	205814485	205814485	1
1	206224999	206224999	1
1	206230958	206230958	0
1	206230986	206230986	0
1	206579798	206579798	0.7826
1	206603535	206603535	1
1	206652404	206652404	1
1	206665896	206665896	0
1	206669465	206669465	0.0115
1	206944233	206944233	1
1	207015957	207015957	0
1	207087435	207087435	1
1	207106444	207106444	1
1	207106478	207106478	1
1	207110888	207110888	1
1	207143422	207143422	1
1	207268779	207268779	0.9848
1	207269919	207269919	0
1	207286409	207286409	0
1	207627693	207627693	0
1	207641840	207641840	0
1	207753621	207753621	0
1	207760773	207760773	0.9936
1	207782707	207782707	0.9867
1	207782931	207782931	0
1	207790088	207790088	0
1	207793202	207793202	0.995
1	207812791	207812791	0
1	207890866	207890866	1
1	208207839	208207839	1
1	208390155	208390155	0
1	208390162	208390162	0
1	208390469	208390469	1
1	209785206	209785206	0.9891
1	209807972	209807972	0
1	209933540	209933540	0.991
1	209936466	209936466	1
1	209936673	209936673	0.99
1	209936914	209936914	0.9926
1	210004199	210004199	0
1	210006603	210006603	0.009
1	210577831	210577831	1
1	210577884	210577884	0
1	210577901	210577901	1
1	212515613	212515613	1
1	212619339	212619339	1
1	212965284	212965284	1
1	213009469	213009469	1
1	213032568	213032568	0.987
1	213061362	213061362	0
1	214787130	214787130	1
1	214811244	214811244	0
1	214814059	214814059	0
1	214814571	214814571	1
1	214815304	214815304	0
1	214816224	214816224	0
1	214826196	214826196	0
1	214837110	214837110	0
1	215956304	215956304	0
1	215960167	215960167	0
1	215963374	215963374	0
1	216052066	216052066	0.0061
1	216166454	216166454	1
1	216348764	216348764	0
1	216370108	216370108	0.9881
1	216390694	216390694	0.0084
1	218478411	218478411	0.5685
1	220300035	220300035	0.2968
1	220970028	220970028	0.6042
1	221055463	221055463	0.3866
1	221057646	221057646	0.4024
1	221057662	221057662	0.3529
1	221912361	221912361	0.4069
1	221912808	221912808	0.3696
1	222712108	222712108	0.396
1	223116472	223116472	0.5395
1	223116474	223116474	0.5526
1	223567803	223567803	0.4074
1	223813586	223813586	0.3296
1	223933020	223933020	0.4302
1	224437889	224437889	0.2625
1	225555512	225555512	0.3235
1	225565073	225565073	0.3441
1	225685473	225685473	0.6018
1	225706943	225706943	0.6429
1	226033083	226033083	0.6329
1	226040404	226040404	0.6256
1	226054333	226054333	0.3272
1	226055595	226055595	0.373
1	227071364	227071364	0.6933
1	227935444	227935444	0.7262
1	227968303	227968303	0.7364
1	228247916	228247916	0.6718
1	228247922	228247922	0.6802
1	228699477	228699477	0.6543
1	230384970	230384970	0.5959
1	230914729	230914729	0.7467
1	230916260	230916260	0.6803
1	230923313	230923313	0.6079
1	231353589	231353589	0.2275
1	231376806	231376806	0.2945
1	231488524	231488524	0.6366
1	231664607	231664607	0.6933
1	232144598	232144598	0.2597
1	232650750	232650750	0.7263
1	233134086	233134086	0.6846
1	233397752	233397752	0.2938
1	233398713	233398713	0.3283
1	233515413	233515413	0.5155
1	233785786	233785786	0.4902
1	234529519	234529519	0.4541
1	234529540	234529540	0.4452
1	234529552	234529552	0.4167
1	234529570	234529570	0.4348
1	234541801	234541801	0.4745
1	235311767	235311767	0.5
1	235652513	235652513	0.5244
1	235715523	235715523	0.4593
1	235860340	235860340	0.4894
1	235910542	235910542	0.4902
1	235945186	235945186	0.4835
1	235972435	235972435	0.4318
1	236175339	236175339	0.4908
1	236381825	236381825	0.4275
1	236385165	236385165	0.4196
1	236415347	236415347	0.3925
1	236572475	236572475	0.5146
1	236758858	236758858	0.4924
1	236767330	236767330	0.5114
1	236849952	236849952	0.4891
1	237054569	237054569	0.5152
1	237057882	237057882	0.4496
1	237058744	237058744	0.5283
1	240497265	240497265	0.4709
1	241755348	241755348	0.4865
1	242022009	242022009	0.4737
1	243579112	243579112	0.5282
1	245245378	245245378	0.4486
1	245245402	245245402	0.4525
1	245847622	245847622	0.4186
1	246707816	246707816	0.4661
1	246707858	246707858	0.4847
1	246939856	246939856	0.5631
1	246939943	246939943	0.4732
1	247021085	247021085	0.4481
1	247587477	247587477	0.5726
1	247608167	247608167	0.5974
1	247614617	247614617	0.4186
1	247695427	247695427	0.4205
1	247752019	247752019	0.5676
1	247752367	247752367	0.5481
1	247769217	247769217	0.4609
1	247769592	247769592	0.6055
1	247769752	247769752	0.5541
1	247835674	247835674	0.5306
1	247835908	247835908	0.4189
1	247835950	247835950	0.4528
1	247836008	247836008	0.5345
1	247836207	247836207	0.3922
1	248023966	248023966	0.4681
1	248039451	248039451	0.4653
1	248059423	248059423	0.4815
1	248059456	248059456	0.5882
1	248059476	248059476	0.5581
1	248059703	248059703	0.4223
1	248059712	248059712	0.4339
1	248084825	248084825	0.7356
1	248112627	248112627	0.4353
1	248112915	248112915	0.4167
1	248402454	248402454	0.5203
1	248569369	248569369	0.526
2	242800	242800	0.1842
2	243504	243504	0.3415
2	1079320	1079320	0.2456
2	1320143	1320143	0.3733
2	1499728	1499728	0.625
2	1544617	1544617	0.6136
2	1546327	1546327	0.2075
2	1926437	1926437	0.3592
2	3212530	3212530	0.7021
2	3356995	3356995	0.2787
2	3391458	3391458	0.8036
2	3392075	3392075	0.2083
2	3460870	3460870	0.8182
2	3469463	3469463	0.6491
2	3470115	3470115	0.6271
2	3470124	3470124	0.6667
2	3481531	3481531	0.2478
2	3488502	3488502	0.6667
2	3504687	3504687	0.6216
2	3518643	3518643	0.8049
2	3652616	3652616	0.2824
2	3729254	3729254	0.2609
2	3789570	3789570	0.2348
2	3816957	3816957	0.5781
2	4135981	4135981	0.2933
2	8178735	8178735	0.699
2	10095185	10095185	0.6
2	10101468	10101468	0.6522
2	10126330	10126330	0.7949
2	11053020	11053020	0.3793
2	11359120	11359120	0.2714
2	11706693	11706693	0.5217
2	11817812	11817812	0.7609
2	11853913	11853913	0.5568
2	15326834	15326834	0.2667
2	15372562	15372562	0.2656
2	15427173	15427173	0.2917
2	15448311	15448311	0.3214
2	15519992	15519992	0.7556
2	15533779	15533779	0.6696
2	15676686	15676686	0.6917
2	15678482	15678482	0.5946
2	15737480	15737480	0.6497
2	17998095	17998095	0.3095
2	17998331	17998331	0.36
2	20194036	20194036	0.3452
2	20202929	20202929	0.2121
2	20205680	20205680	0.3125
2	20240668	20240668	0.2817
2	20824498	20824498	0.28
2	20824708	20824708	0.7544
2	20838318	20838318	0.2809
2	21225281	21225281	0.6667
2	21233972	21233972	0.2436
2	21235480	21235480	0.6991
2	23862187	23862187	0.2192
2	25022598	25022598	0.7049
2	25046090	25046090	0.5882
2	25050977	25050977	0.6607
2	25064193	25064193	0.7353
2	25141538	25141538	0.6071
2	25314186	25314186	0.5513
2	25377176	25377176	0.8033
2	26177198	26177198	0.2273
2	26350136	26350136	0.7266
2	26357809	26357809	0.6275
2	26467347	26467347	0.1887
2	26501953	26501953	0.2432
2	26534112	26534112	0.1486
2	26534801	26534801	0.7037
2	26534898	26534898	0.1429
2	26637228	26637228	0.6747
2	26653377	26653377	0.8125
2	26676208	26676208	0.7121
2	26678040	26678040	0.75
2	26700315	26700315	0.679
2	26700700	26700700	0.4286
2	26724725	26724725	0.1892
2	26726752	26726752	0.3125
2	26846282	26846282	0.2258
2	27014980	27014980	0.581
2	27355991	27355991	0.3529
2	27424636	27424636	0.7231
2	27558252	27558252	0.303
2	27600283	27600283	0.4062
2	27601088	27601088	0.2836
2	27676287	27676287	0.16
2	27721971	27721971	0.2273
2	27789861	27789861	0.6748
2	27801403	27801403	0.5821
2	27801418	27801418	0.5312
2	27838058	27838058	0.6212
2	27887034	27887034	0.3415
2	27930837	27930837	0.7073
2	28634790	28634790	0.3304
2	28789643	28789643	0.6133
2	28800894	28800894	0.2917
2	29092850	29092850	0.75
2	29129418	29129418	0.5385
2	29152456	29152456	0.3125
2	29240060	29240060	0.675
2	29294629	29294629	0.2
2	29297068	29297068	0.375
2	30976058	30976058	0.7333
2	31411155	31411155	0.6853
2	31570376	31570376	0.6818
2	31588288	31588288	0.6269
2	31600146	31600146	0.6542
2	32476390	32476390	0.6333
2	33412077	33412077	0.7193
2	33447202	33447202	0.6087
2	33764286	33764286	0.3111
2	36704144	36704144	0.6852
2	36781401	36781401	0.566
2	36783127	36783127	0.567
2	36810586	36810586	0.7379
2	37010557	37010557	0.3521
